"panel_key","contrast","pathway","rank","running_ES","is_hit","gene_symbol","NES","padj","pval","pathway_pretty","timepoint","panel_label"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1,-7.23170378941279e-05,FALSE,"MMP13",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2,-0.000144634075788256,FALSE,"TPX2",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3,-0.000216951113682384,FALSE,"CENPF",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4,-0.000289268151576511,FALSE,"NCAPG",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",5,-0.000361585189470639,FALSE,"KIF23",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6,-0.000433902227364767,FALSE,"VMP1",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",7,-0.000506219265258895,FALSE,"PDE4DIP",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",8,-0.000578536303153023,FALSE,"TTYH2",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",9,-0.000650853341047151,FALSE,"MYO1B",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",10,-0.000723170378941279,FALSE,"KIF11",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",11,-0.000795487416835406,FALSE,"EZH2",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",12,-0.000867804454729534,FALSE,"PDE1C",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",13,-0.000940121492623662,FALSE,"COL24A1",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",14,-0.00101243853051779,FALSE,"CHRNA3",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
"EMT / ECM remodeling__t28","ACLT_untreated_t28_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",15,-0.00108475556841192,FALSE,"RGS5",1.5134305219531,0.00348396601724827,0.00111486912551945,"EMT / ECM remodeling","t28","EMT / ECM remodeling — t28
NES = 1.513   |   FDR = 3.48e-03"
