"gene_id","logFC_untrimmed","PValue_untrimmed","FDR_untrimmed","strict_untrimmed","minuslog10P_untrimmed","logFC_trimmed","PValue_trimmed","FDR_trimmed","strict_trimmed","minuslog10P_trimmed","logFC_diff_trimmed_minus_untrimmed","abs_logFC_diff","FDR_diff_trimmed_minus_untrimmed","strict_status","direction_same"
"ENSSSCG00000000002",2.8516685829681,7.79070797923389e-07,2.71112828040186e-05,TRUE,6.10842307409849,2.83266923140682,8.71298776970968e-07,3.00984625474024e-05,TRUE,6.05983289557815,-0.0189993515612801,0.0189993515612801,2.9871797433838e-06,"strict_in_both",TRUE
"ENSSSCG00000000003",-0.504527347273523,0.000496821290361759,0.00281835688549976,FALSE,3.3037998015422,-0.514904622836437,0.000385638332209414,0.00233212433899102,FALSE,3.41381980402329,-0.010377275562914,0.010377275562914,-0.00048623254650874,"not_strict_in_either",TRUE
"ENSSSCG00000000005",-0.552899941941823,0.00229906076368986,0.00887029868517153,FALSE,2.63844955026771,-0.564166155680555,0.0018540869653762,0.00758753486825119,FALSE,2.73186989926529,-0.0112662137387319,0.0112662137387319,-0.00128276381692034,"not_strict_in_either",TRUE
"ENSSSCG00000000006",-0.41181395990956,0.191958657096937,0.286719232496663,FALSE,0.716792296963361,-0.4220260268534,0.178338956778438,0.270731654799599,FALSE,0.74875377816008,-0.01021206694384,0.01021206694384,-0.015987577697064,"not_strict_in_either",TRUE
"ENSSSCG00000000007",0.242518442645955,0.122453197703991,0.201255931053223,FALSE,0.912029869362744,0.234894272756886,0.129736330326216,0.21038521201724,FALSE,0.886938390524909,-0.007624169889069,0.007624169889069,0.00912928096401699,"not_strict_in_either",TRUE
"ENSSSCG00000000010",-1.91519349829104,1.33792681725016e-05,0.000193096285593258,TRUE,4.87356764122713,-1.92757131934519,1.37561210133678e-05,0.000196000913152881,TRUE,4.86150401232031,-0.0123778210541501,0.0123778210541501,2.904627559623e-06,"strict_in_both",TRUE
"ENSSSCG00000000014",0.495978290176714,0.00126768849489659,0.00565966447549031,FALSE,2.89698745116068,0.483523765761627,0.00142997732178087,0.00620822998280188,FALSE,2.84467085001992,-0.012454524415087,0.012454524415087,0.000548565507311569,"not_strict_in_either",TRUE
"ENSSSCG00000000018",0.17917807226554,0.137024285262397,0.219328233483997,FALSE,0.863202454589873,0.166783260118612,0.160160790707791,0.24879933032953,FALSE,0.795443795763965,-0.012394812146928,0.012394812146928,0.029471096845533,"not_strict_in_either",TRUE
"ENSSSCG00000000019",0.375418260232705,0.000300097144587238,0.00191699262060352,FALSE,3.52273813685074,0.364140377419104,0.000407602165373663,0.0024406522596113,FALSE,3.38976351748373,-0.011277882813601,0.011277882813601,0.00052365963900778,"not_strict_in_either",TRUE
"ENSSSCG00000000022",-0.125122096023893,0.300911571990519,0.408437383572482,FALSE,0.521561110515182,-0.137404896847063,0.255153851252356,0.359074953818894,FALSE,0.593197872109238,-0.01228280082317,0.01228280082317,-0.049362429753588,"not_strict_in_either",TRUE
