"sample_id","absolute_path.R1","relative_path.R1","filename.R1","size_bytes.R1","absolute_path.R2","relative_path.R2","filename.R2","size_bytes.R2","group","sample_order","trimmed_R1","trimmed_R2","fastp_html","fastp_json","trimmed_R1_relative","trimmed_R2_relative","fastp_command"
"CON1","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON1_R1.fastq.gz","data_raw/E-MTAB-6664/CON1_R1.fastq.gz","CON1_R1.fastq.gz",651977344,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON1_R2.fastq.gz","data_raw/E-MTAB-6664/CON1_R2.fastq.gz","CON1_R2.fastq.gz",688190270,"Control_t0",1,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON1.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON1.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"CON2","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON2_R1.fastq.gz","data_raw/E-MTAB-6664/CON2_R1.fastq.gz","CON2_R1.fastq.gz",544725607,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON2_R2.fastq.gz","data_raw/E-MTAB-6664/CON2_R2.fastq.gz","CON2_R2.fastq.gz",558036186,"Control_t0",2,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON2.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON2.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"CON3","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON3_R1.fastq.gz","data_raw/E-MTAB-6664/CON3_R1.fastq.gz","CON3_R1.fastq.gz",806117724,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON3_R2.fastq.gz","data_raw/E-MTAB-6664/CON3_R2.fastq.gz","CON3_R2.fastq.gz",846017263,"Control_t0",3,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON3.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON3.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"CON4","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON4_R1.fastq.gz","data_raw/E-MTAB-6664/CON4_R1.fastq.gz","CON4_R1.fastq.gz",806769976,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON4_R2.fastq.gz","data_raw/E-MTAB-6664/CON4_R2.fastq.gz","CON4_R2.fastq.gz",826364985,"Control_t0",4,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON4.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON4.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"CON5","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON5_R1.fastq.gz","data_raw/E-MTAB-6664/CON5_R1.fastq.gz","CON5_R1.fastq.gz",1082581382,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON5_R2.fastq.gz","data_raw/E-MTAB-6664/CON5_R2.fastq.gz","CON5_R2.fastq.gz",1119077806,"Control_t0",5,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON5.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON5.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"CON6","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON6_R1.fastq.gz","data_raw/E-MTAB-6664/CON6_R1.fastq.gz","CON6_R1.fastq.gz",661687493,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON6_R2.fastq.gz","data_raw/E-MTAB-6664/CON6_R2.fastq.gz","CON6_R2.fastq.gz",666275280,"Control_t0",6,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON6.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON6.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"INJS1","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS1_R1.fastq.gz","data_raw/E-MTAB-6664/INJS1_R1.fastq.gz","INJS1_R1.fastq.gz",807916208,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS1_R2.fastq.gz","data_raw/E-MTAB-6664/INJS1_R2.fastq.gz","INJS1_R2.fastq.gz",837784065,"ACLT_t7",7,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS1.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS1.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"INJS2","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS2_R1.fastq.gz","data_raw/E-MTAB-6664/INJS2_R1.fastq.gz","INJS2_R1.fastq.gz",730420144,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS2_R2.fastq.gz","data_raw/E-MTAB-6664/INJS2_R2.fastq.gz","INJS2_R2.fastq.gz",738875598,"ACLT_t7",8,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS2.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS2.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"INJS3","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS3_R1.fastq.gz","data_raw/E-MTAB-6664/INJS3_R1.fastq.gz","INJS3_R1.fastq.gz",665280822,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS3_R2.fastq.gz","data_raw/E-MTAB-6664/INJS3_R2.fastq.gz","INJS3_R2.fastq.gz",700261527,"ACLT_t7",9,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS3.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS3.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
"INJS4","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS4_R1.fastq.gz","data_raw/E-MTAB-6664/INJS4_R1.fastq.gz","INJS4_R1.fastq.gz",539628443,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS4_R2.fastq.gz","data_raw/E-MTAB-6664/INJS4_R2.fastq.gz","INJS4_R2.fastq.gz",550103329,"ACLT_t7",10,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS4.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS4.fastp.json","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R1.trimmed.fastq.gz","rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R2.trimmed.fastq.gz","FASTP_NOT_FOUND"
