"","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"ENSSSCG00000032556",7.94293756234038,8.37935423552635,8.0705217817263,7.74762000481471,8.64087947018432,8.19287526141535,8.13556253188395,7.55468086925012,8.00208379676632,8.21400698566741,8.54211282888437,7.85152987900694,8.31407391150736,8.15172325919208,8.1872283481117,8.41291006192676,8.25481231430741,8.78939439577273,8.53565325095627,8.38302332870102,8.45271722594275,8.16085210880523,8.12631523050649,8.58277262175774
"ENSSSCG00000040779",-0.0419413667670854,1.08890421153619,-1.12057270543528,-0.204903771344332,1.75003656058856,1.72900452114962,0.101988315549299,-0.0269432272329693,0.955390378529105,-1.48419561607859,-0.128427623844813,0.354085587729354,1.11020937260621,-1.83652113479212,-3.47349413310755,-0.931441624363029,-0.635345902239644,0.396549202451506,-1.3424431920848,-0.454958513929594,-0.215481548843547,-2.34678636475551,-0.539154484765519,0.316118120434726
"ENSSSCG00000002388",-3.47349413310755,-2.34195478203692,-2.45404541430463,-3.47349413310755,-2.50491244673364,-2.77961976964739,-3.47349413310755,-3.47349413310755,-2.07124885224683,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-2.43431153463875,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-2.3848177774404,-2.55668824690101,-3.47349413310755,-1.72194579979845,-3.47349413310755,-3.47349413310755
"ENSSSCG00000029944",7.33198933574596,7.58016583276358,7.97288269299324,7.21965339835219,6.80064186466565,7.95635912902789,7.46108146829029,6.84922316017569,7.68299248355291,7.40851800452925,6.94958082558601,7.4001163846607,7.15161199806775,7.11889098015141,7.05451687480723,6.89723239751588,6.48548376386255,7.45278403067362,7.04953708311,7.17689959956553,7.00994369401366,7.6906675987698,6.16727056260241,7.87300821089866
"ENSSSCG00000004454",6.00957930623197,6.11138377370429,6.24106031808932,6.54875091746211,7.05640293061687,6.57731113310227,6.02437415971614,6.38271992152383,6.15166775210457,6.50482113315025,6.68382258470356,6.77062532483024,6.49401176438795,6.30418418786075,6.93551875341655,7.28747026218742,6.70928731275453,6.71658094372561,5.7932525028345,6.66007922190628,6.38466312886486,6.7001939569956,6.20428767961899,6.40116609348059
"ENSSSCG00000015332",-2.21136383899085,-2.34195478203692,-1.86265783745386,-1.6795041292553,-3.47349413310755,-0.630270374372483,-3.47349413310755,-3.47349413310755,-2.60831718269164,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-2.3848177774404,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755,-3.47349413310755
"ENSSSCG00000011579",3.8140622338393,3.34599079445412,2.97408692968203,2.82540930513257,1.50933090502413,4.56128283013097,3.14786242884861,2.35588436584744,3.07858512171824,2.21235267101417,1.23770393617013,3.21387156214982,0.873518878463767,1.64594567029205,0.963719088535167,0.233635853279577,0.980250887607261,2.02701039116526,2.80489206733063,1.06245118471031,1.932683161051,0.452807541595209,-0.539154484765519,2.43370519020513
"ENSSSCG00000029275",-2.21136383899085,-1.28042527353094,-1.86265783745386,-1.24034560065753,-2.50491244673364,-0.203457811109027,-1.09483252314201,-2.48056428944464,-2.60831718269164,-3.47349413310755,-2.65507462470716,-3.47349413310755,-0.656459862899477,-1.08937471744282,-1.63233706157101,-2.33203352015851,-2.31631896928133,-3.47349413310755,-1.01218751307621,-0.304952022593968,-1.52655847579922,0.335877720868285,-0.25547579388253,-0.857241985596655
"ENSSSCG00000036145",3.13378074888663,3.59671777578794,3.08829208786122,3.68531000205001,3.97902451081956,3.42090855608956,3.21195940764595,3.64171549843655,3.65418205697961,3.58378861437784,3.01133473724639,3.52309109600997,3.20727545714283,3.51009798497359,3.73189548241378,3.46679358252333,3.78902543884898,3.33700333596281,3.18877045630735,3.85587656828828,3.66535934713306,3.48179854325048,3.55506647080739,3.11047167320736
"ENSSSCG00000033787",2.20868224478615,2.60741368699647,2.49525679063483,2.21548031877808,1.9238769006992,1.79983268169597,2.30173871304546,2.81689423208808,2.35600762047194,2.64170761688113,1.97786501461144,2.59234146552123,2.75098790584464,2.50947013202432,1.24347330217047,1.95984890624244,2.03605918920744,1.56142873842832,1.60207281303347,1.44783347919956,1.66673511786817,1.6708849871293,1.99203664430884,3.05140071504061
"ENSSSCG00000011959",10.3870518667561,10.2379843043759,9.53413164312175,10.0523961107994,9.6299246104207,9.81477640379116,10.4979284061217,9.90325522506401,9.89255662011317,9.79684062851136,9.26126751240093,9.69943064856955,9.83593077108283,10.2735377521758,9.68707245057271,8.10673654008748,9.31258178561901,8.7438697756611,11.0144712905502,9.54207441925494,10.0721387540029,9.51405747653206,11.0183879181618,8.92778470235977
"ENSSSCG00000030484",6.18209731170262,6.1325822244983,5.98294137754882,5.43034995918751,6.34873480124308,5.99698876716391,6.65768855335341,6.09731178386444,6.14263410232209,6.50519600364514,5.92719517568476,6.39052809915763,5.99269226308671,6.12580596853998,6.05987783400845,6.66996798992877,5.79353033850473,5.55135880488762,5.90057039299578,6.24547811783477,5.87853285017848,5.94671890600758,6.28260875506923,5.94870124934548
"ENSSSCG00000027426",4.17744981809614,3.60944680719182,4.39152512534541,2.89169036023981,4.00247776003349,3.23745643706681,2.9960375874046,3.5568327670682,4.13908283530296,3.86233615826111,5.03291139228515,3.70057673004553,4.10302530701963,3.62562348745857,4.46747520523946,3.87177538260615,4.48227689830651,4.95674511683073,3.78499091657719,4.28058666293841,3.85662184787313,4.1777598564584,3.96733879195335,5.23807455276762
"ENSSSCG00000030469",-0.242218629464607,-1.28042527353094,0.732949942474356,-1.24034560065753,1.05063622797083,0.618896619153179,0.53745988230237,0.320702798430857,0.348727073717297,1.02064510334014,1.05886757458516,0.873926733923205,0.09755405183817,0.599121452544021,-0.455006823655796,1.91901036237655,0.980250887607261,0.869733760779721,0.386620293162592,1.16886847717847,-0.448665950204339,0.452807541595209,-0.539154484765519,0.316118120434726
"ENSSSCG00000029326",-0.0419413667670854,-2.34195478203692,-0.116744939097812,-0.402558972009081,0.168397461100823,0.618896619153179,-0.524731642557075,-0.900334549073479,-0.404124041452378,1.02064510334014,-0.128427623844813,-0.630391059048627,-0.0572764748073738,0.405801756189695,-0.574815239477482,1.91901036237655,0.714182159696688,1.51059024981386,-0.517301937133374,0.175327960745165,-2.19386022065065,-0.258562520126584,0.184958452354571,-2.28263414757788
"ENSSSCG00000010214",0.133891989300479,-0.466592935581109,0.469491230201931,-0.750917796588263,0.925416351083528,-0.0142356936487195,0.200138456600585,0.683046908383262,0.072513755175663,0.760902474241487,0.164822495299085,-0.82314818214608,1.24885789427789,0.601471588761657,0.963719088535167,1.69543802211349,1.51547725539991,0.504416554852706,-0.74362797007182,0.415436827307425,-0.372508038047543,-0.455288624916856,-0.892613696075812,1.03804306711113
"ENSSSCG00000040183",5.44382205601755,5.7467921211897,5.3594745980043,5.35250692429975,6.02914184890139,5.94194024283425,5.85293719824961,5.6467824020583,5.74124025760587,6.14126816134333,6.22237484597634,6.11680123608322,6.40227578751367,5.9723541131136,6.39393737305306,6.62147363536718,5.95162394770277,6.22681775976785,6.05166050560612,6.23159754583075,5.99650520821137,6.04544933947358,6.14305364717144,5.75981096120119
"ENSSSCG00000005134",-0.242218629464607,0.344145752279324,0.146926441580933,-0.0310940011920915,1.16590562818325,0.330771996290533,1.14257106358411,-0.900334549073479,0.955390378529105,0.642322712278622,0.0735388634937523,-0.466524044461091,-0.0572764748073738,0.847794230032419,-1.63233706157101,1.03168325870717,-0.635345902239644,0.014031679232119,-0.74362797007182,1.16886847717847,-1.07204909079236,0.335877720868285,0.363250648143533,2.19985384437107
"ENSSSCG00000012056",1.1572863719607,1.47010358741271,0.146926441580933,0.50893889284695,-0.0717055833673358,-0.298914552339436,0.680486466807173,0.213865806456886,0.840908798219694,-0.678375977995938,0.250672439686339,0.934972414747189,-0.0572764748073738,0.298471245630888,0.513107326886154,-0.0609374499219732,1.27251045233868,0.504416554852706,0.386620293162592,-0.0449177104585255,0.816418312155047,0.0690596872873305,0.521912732168373,-0.857241985596655
"ENSSSCG00000009378",0.560674099073595,0.669975541450531,0.469491230201931,0.391681793903461,1.22026103939244,1.21047583612984,1.19116708086611,0.420170684868332,0.780070701174771,1.24068164862063,1.3967966966876,0.810183421168395,0.95680560205339,0.847794230032419,1.27226636383649,2.65051186041848,1.72326604713189,2.19741385056915,0.859600313248393,0.45315936321366,1.26526967622967,1.51626103083288,-1.36178456408841,0.954527999092193
"ENSSSCG00000024872",0.889603339795161,2.42980193053523,2.88985753243448,-0.0310940011920915,1.46499821184416,0.78829270550579,1.2934452578764,1.21841221307641,2.57870017383842,2.66377803970571,1.19909545691016,3.65255992723164,1.65486407914142,1.89008076000129,0.878148764645909,1.6481938236494,0.980250887607261,0.60477691575828,1.45015798165773,1.89254517469593,1.54821940212427,2.90108775911673,0.914157130017846,0.444106260291781
"ENSSSCG00000002669",6.22643722521755,6.89991293620624,5.56224947199249,6.21415784619639,5.55848553308309,4.94405143888188,5.81060572338348,5.08222382977012,5.95584953277773,4.42516841881613,7.58934512368267,4.90458741810899,7.39125158257982,7.55579264695848,7.04373050236741,5.7735774728856,7.23565547954192,6.9830395683764,7.7265504540121,7.55427848926347,7.62534213551763,6.26523096600001,8.55123950459512,6.82368592158283
"ENSSSCG00000035746",4.36869125456429,3.97631176201107,4.02243167864441,3.81199121470879,4.12054563719862,4.18581145994892,3.80440625594776,3.96367270480843,3.77161568868831,3.72003626025011,4.21120971735199,3.81570464263296,4.02967255165948,3.91137106159347,4.14434161110109,4.31735159026418,4.22998953715362,3.74952933426247,3.92430060524795,4.24642727813254,4.27312947879093,3.70991002229262,3.978262154313,3.43753215430697
